transaction_timestamp,creditcard_number,merchant,category,amount,first_name,last_name,gender,street,city,state,zip,latitude,longitude,point_of_presence,job,date_of_birth,transaction_number,unix_time,merchant_latitude,merchant_longitude,is_fraud
1/1/2019 0:00,2703190000000000,fraud_Rippin- Kub and Mann,misc_net,4.97,Jennifer,Banks,F,561 Perry Cove,Moravian Falls,NC,28654,36.0788,-81.1781,3495,Psychologist- counselling,3/9/1988,0b242abb623afc578575680df30655b9,1325376018,36.011293,-82.048315,0
1/1/2019 0:00,630423000000,fraud_Heller- Gutmann and Zieme,grocery_pos,107.23,Stephanie,Gill,F,43039 Riley Greens Suite 393,Orient,WA,99160,48.8878,-118.2105,149,Special educational needs teacher,6/21/1978,1f76529f8574734946361c461b024d99,1325376044,49.159047,-118.186462,0
1/1/2019 0:00,38859500000000,fraud_Lind-Buckridge,entertainment,220.11,Edward,Sanchez,M,594 White Dale Suite 530,Malad City,ID,83252,42.1808,-112.262,4154,Nature conservation officer,1/19/1962,a1a22d70485983eac12b5b88dad1cf95,1325376051,43.150704,-112.154481,0
1/1/2019 0:01,3534090000000000,fraud_Kutch- Hermiston and Farrell,gas_transport,45,Jeremy,White,M,9443 Cynthia Court Apt. 038,Boulder,MT,59632,46.2306,-112.1138,1939,Patent attorney,1/12/1967,6b849c168bdad6f867558c3793159a81,1325376076,47.034331,-112.561071,0
1/1/2019 0:03,375534000000000,fraud_Keeling-Crist,misc_pos,41.96,Tyler,Garcia,M,408 Bradley Rest,Doe Hill,VA,24433,38.4207,-79.4629,99,Dance movement psychotherapist,3/28/1986,a41d7549acf90789359a9aa5346dcb46,1325376186,38.674999,-78.632459,0
1/1/2019 0:04,4767270000000000,fraud_Stroman- Hudson and Erdman,gas_transport,94.63,Jennifer,Conner,F,4655 David Island,Dublin,PA,18917,40.375,-75.2045,2158,Transport planner,6/19/1961,189a841a0a8ba03058526bcfe566aab5,1325376248,40.653382,-76.152667,0
1/1/2019 0:04,30074700000000,fraud_Rowe-Vandervort,grocery_net,44.54,Kelsey,Richards,F,889 Sarah Station Suite 624,Holcomb,KS,67851,37.9931,-100.9893,2691,Arboriculturist,8/16/1993,83ec1cc84142af6e2acf10c44949e720,1325376282,37.162705,-100.15337,0
1/1/2019 0:05,6011360000000000,fraud_Corwin-Collins,gas_transport,71.65,Steven,Williams,M,231 Flores Pass Suite 720,Edinburg,VA,22824,38.8432,-78.6003,6018,Designer- multimedia,8/21/1947,6d294ed2cc447d2c71c7171a3d54967c,1325376308,38.948089,-78.540296,0
1/1/2019 0:05,4922710000000000,fraud_Herzog Ltd,misc_pos,4.27,Heather,Chase,F,6888 Hicks Stream Suite 954,Manor,PA,15665,40.3359,-79.6607,1472,Public affairs consultant,3/7/1941,fc28024ce480f8ef21a32d64c93a29f5,1325376318,40.351813,-79.958146,0
1/1/2019 0:06,2720830000000000,fraud_Schoen- Kuphal and Nitzsche,grocery_pos,198.39,Melissa,Aguilar,F,21326 Taylor Squares Suite 708,Clarksville,TN,37040,36.522,-87.349,151785,Pathologist,3/28/1974,3b9014ea8fb80bd65de0b1463b00b00e,1325376361,37.179198,-87.485381,0
1/1/2019 0:06,4642890000000,fraud_Rutherford-Mertz,grocery_pos,24.74,Eddie,Mendez,M,1831 Faith View Suite 653,Clarinda,IA,51632,40.7491,-95.038,7297,IT trainer,7/13/1990,d71c95ab6b7356dd74389d41df429c87,1325376383,40.275891,-96.011548,0
1/1/2019 0:06,377234000000000,fraud_Kerluke-Abshire,shopping_net,7.77,Theresa,Blackwell,F,43576 Kristina Islands,Shenandoah Junction,WV,25442,39.3716,-77.8229,1925,Systems developer,2/14/1966,3c74776e558f1499a7824b556e474b1d,1325376413,40.103866,-78.624459,0
1/1/2019 0:06,180043000000000,fraud_Lockman Ltd,grocery_pos,71.22,Charles,Robles,M,3337 Lisa Divide,Saint Petersburg,FL,33710,27.7898,-82.7243,341043,Engineer- land,2/28/1989,c1d9a7ddb1e34639fe82758de97f4abf,1325376416,27.630593,-82.308891,0
